date,X,Y,precipitation_sum
20240812,39.041,3.401,22.6
20240727,39.091,3.401,0.0
20240812,39.091,3.401,21.9
20240727,39.141,3.401,0.0
20240812,39.141,3.401,19.6
20240727,39.191,3.401,0.0
20240812,39.191,3.401,20.0
20240727,39.241,3.401,0.0
20240812,39.241,3.401,21.3
20240727,39.291,3.401,0.0
20240812,39.291,3.401,22.7
20240727,39.341,3.401,0.0
20240812,39.341,3.401,26.6
20240727,39.391,3.401,0.0
20240812,39.391,3.401,27.800001
20240727,39.441,3.401,0.0
20240812,39.441,3.401,30.8
20240727,39.491,3.401,0.0
20240812,39.491,3.401,29.7
20240727,39.541,3.401,0.0
20240812,39.541,3.401,27.9
20240727,39.591,3.401,0.0
20240812,39.591,3.401,24.7
20240727,39.641,3.401,0.0
20240812,39.641,3.401,24.4
20240727,39.691,3.401,0.0
20240812,39.691,3.401,22.1
20240727,39.736,3.404,0.0
20240812,39.736,3.404,25.3
20240727,39.77,3.422,0.0
20240812,39.77,3.422,21.7
20240727,38.01,3.472,0.0
20240812,38.01,3.472,16.9
20240727,38.045,3.462,0.0
20240812,38.045,3.462,18.4
20240727,38.092,3.455,0.0
20240812,38.092,3.455,18.7
20240727,38.141,3.453,0.0
20240812,38.141,3.453,18.9
20240727,38.191,3.453,0.0
20240812,38.191,3.453,22.4
20240727,38.241,3.452,0.0
20240812,38.241,3.452,25.2
20240727,38.291,3.452,0.0
20240812,38.291,3.452,23.3
20240727,38.341,3.451,0.0
20240812,38.341,3.451,22.400002
20240727,38.391,3.451,0.0
20240812,38.391,3.451,25.4
20240727,38.441,3.451,0.0
20240812,38.441,3.451,25.0
20240727,38.491,3.451,0.0
20240812,38.491,3.451,23.7
20240727,38.542,3.455,0.0
20240812,38.542,3.455,22.5
20240727,38.591,3.451,0.0
20240812,38.591,3.451,22.0
20240727,38.641,3.451,0.0
20240812,38.641,3.451,28.600002
20240727,38.691,3.451,8.3
20240812,38.691,3.451,21.099998
20240727,38.741,3.451,8.7
20240812,38.741,3.451,22.5
20240727,38.791,3.451,0.0
20240812,38.791,3.451,10.1
20240727,38.841,3.451,0.0
20240812,38.841,3.451,8.3
20240727,38.891,3.451,0.0
20240812,38.891,3.451,9.9
20240727,38.941,3.451,0.0
20240812,38.941,3.451,10.599999
20240727,38.991,3.451,0.0
20240812,38.991,3.451,26.900002
20240727,39.041,3.451,0.0
20240812,39.041,3.451,25.5
20240727,39.091,3.451,0.0
20240812,39.091,3.451,25.4
