,NDVI,X,Y,date
74,1983,38.141,3.453,20240727
75,2237,38.191,3.453,20240727
76,2237,38.241,3.452,20240727
77,2648,38.291,3.452,20240727
78,3198,38.341,3.451,20240727
79,3198,38.391,3.451,20240727
80,3814,38.441,3.451,20240727
81,3814,38.491,3.451,20240727
82,3788,38.542,3.455,20240727
83,3788,38.591,3.451,20240727
84,3634,38.641,3.451,20240727
85,3634,38.691,3.451,20240727
86,3538,38.741,3.451,20240727
87,3677,38.791,3.451,20240727
88,3677,38.841,3.451,20240727
89,3858,38.891,3.451,20240727
90,3858,38.941,3.451,20240727
91,4737,38.991,3.451,20240727
92,4737,39.041,3.451,20240727
93,4503,39.091,3.451,20240727
94,4503,39.141,3.451,20240727
95,4074,39.191,3.451,20240727
96,4544,39.241,3.451,20240727
97,4544,39.291,3.451,20240727
98,5016,39.341,3.451,20240727
99,5016,39.391,3.451,20240727
100,6417,39.441,3.451,20240727
101,6417,39.491,3.451,20240727
102,4391,39.541,3.451,20240727
103,4391,39.591,3.451,20240727
104,3516,39.641,3.451,20240727
105,3398,39.691,3.451,20240727
106,3398,39.741,3.451,20240727
107,3920,39.787,3.456,20240727
108,3920,39.821,3.471,20240727
109,2975,37.953,3.515,20240727
110,2622,37.993,3.504,20240727
111,2622,38.041,3.501,20240727
112,2473,38.091,3.501,20240727
113,2473,38.141,3.501,20240727
114,2396,38.191,3.501,20240727
115,2396,38.241,3.501,20240727
116,3488,38.291,3.501,20240727
117,3993,38.341,3.501,20240727
118,3993,38.391,3.501,20240727
119,4422,38.441,3.501,20240727
120,4422,38.491,3.501,20240727
121,4333,38.541,3.501,20240727
122,4333,38.591,3.501,20240727
123,4128,38.641,3.501,20240727
124,4128,38.691,3.501,20240727
125,4186,38.741,3.501,20240727
126,4449,38.791,3.501,20240727
127,4449,38.841,3.501,20240727
128,4592,38.891,3.501,20240727
129,4592,38.941,3.501,20240727
130,5322,38.991,3.501,20240727
131,5322,39.041,3.501,20240727
132,4879,39.091,3.501,20240727
133,4879,39.141,3.501,20240727
134,5466,39.191,3.501,20240727
135,5958,39.241,3.501,20240727
136,5958,39.291,3.501,20240727
137,5502,39.341,3.501,20240727
138,5502,39.391,3.501,20240727
139,6116,39.441,3.501,20240727
140,6116,39.491,3.501,20240727
141,4342,39.541,3.501,20240727
142,4342,39.591,3.501,20240727
143,3943,39.641,3.501,20240727
144,3870,39.691,3.501,20240727
145,3870,39.741,3.501,20240727
146,3986,39.791,3.501,20240727
147,3986,39.837,3.505,20240727
148,3653,39.872,3.52,20240727
149,2975,37.908,3.563,20240727
150,2975,37.942,3.551,20240727
151,2622,37.991,3.551,20240727
152,2622,38.041,3.551,20240727
153,2473,38.091,3.551,20240727
154,2473,38.141,3.551,20240727
155,2396,38.191,3.551,20240727
156,2396,38.241,3.551,20240727
157,3488,38.291,3.551,20240727
158,3993,38.341,3.551,20240727
159,3993,38.391,3.551,20240727
160,4422,38.441,3.551,20240727
161,4422,38.491,3.551,20240727
162,4333,38.541,3.551,20240727
163,4333,38.591,3.551,20240727
164,4128,38.641,3.551,20240727
165,4128,38.691,3.551,20240727
166,4186,38.741,3.551,20240727
167,4449,38.791,3.551,20240727
168,4449,38.841,3.551,20240727
169,4592,38.891,3.551,20240727
170,4592,38.941,3.551,20240727
171,5322,38.991,3.551,20240727
172,5322,39.041,3.551,20240727
173,4879,39.091,3.551,20240727
174,4879,39.141,3.551,20240727
175,5466,39.191,3.551,20240727
176,5958,39.241,3.551,20240727
177,5958,39.291,3.551,20240727
178,5502,39.341,3.551,20240727
179,5502,39.391,3.551,20240727
180,6116,39.441,3.551,20240727
181,6116,39.491,3.551,20240727
182,4342,39.541,3.551,20240727
183,4342,39.591,3.551,20240727
184,3943,39.641,3.551,20240727
185,3870,39.691,3.551,20240727
186,3870,39.741,3.551,20240727
187,3986,39.791,3.551,20240727
188,3986,39.841,3.551,20240727
189,3653,39.888,3.554,20240727
190,3653,39.921,3.57,20240727
191,2190,37.852,3.617,20240727
192,2300,37.894,3.604,20240727
193,2300,37.941,3.601,20240727
194,2413,37.991,3.601,20240727
195,2413,38.041,3.601,20240727
196,2882,38.091,3.601,20240727
197,2882,38.141,3.601,20240727
198,2770,38.191,3.601,20240727
199,2770,38.241,3.601,20240727
200,3196,38.291,3.601,20240727
201,3959,38.341,3.601,20240727
202,3959,38.391,3.601,20240727
203,6579,38.441,3.601,20240727
204,6579,38.491,3.601,20240727
205,6474,38.541,3.601,20240727
206,6474,38.591,3.601,20240727
207,5852,38.641,3.601,20240727
208,5852,38.691,3.601,20240727
209,6074,38.741,3.601,20240727
210,6074,38.791,3.601,20240727
211,5483,38.841,3.601,20240727
212,5069,38.891,3.601,20240727
213,5069,38.941,3.601,20240727
214,4268,38.991,3.601,20240727
215,4268,39.041,3.601,20240727
216,4208,39.091,3.601,20240727
217,4208,39.141,3.601,20240727
218,4491,39.191,3.601,20240727
219,4491,39.241,3.601,20240727
220,3992,39.291,3.601,20240727
221,4171,39.341,3.601,20240727
222,4171,39.391,3.601,20240727
223,4452,39.441,3.601,20240727
224,4452,39.491,3.601,20240727
225,4411,39.541,3.601,20240727
226,4411,39.591,3.601,20240727
227,4069,39.641,3.601,20240727
228,4069,39.691,3.601,20240727
229,4210,39.741,3.601,20240727
230,3888,39.791,3.601,20240727
231,3888,39.841,3.601,20240727
232,3492,39.891,3.601,20240727
233,3492,39.931,3.604,20240727
234,2261,37.76,3.672,20240727
235,2047,37.796,3.66,20240727
236,2190,37.841,3.651,20240727
237,2190,37.891,3.651,20240727
238,2300,37.941,3.651,20240727
239,2413,37.991,3.651,20240727
240,2413,38.041,3.651,20240727
241,2882,38.091,3.651,20240727
242,2882,38.141,3.651,20240727
243,2770,38.191,3.651,20240727
244,2770,38.241,3.651,20240727
245,3196,38.291,3.651,20240727
246,3196,38.341,3.651,20240727
247,3959,38.391,3.651,20240727
248,6579,38.441,3.651,20240727
249,6579,38.491,3.651,20240727
250,6474,38.541,3.651,20240727
251,6474,38.591,3.651,20240727
252,5852,38.641,3.651,20240727
253,5852,38.691,3.651,20240727
254,6074,38.741,3.651,20240727
255,6074,38.791,3.651,20240727
256,5483,38.841,3.651,20240727
257,5069,38.891,3.651,20240727
258,5069,38.941,3.651,20240727
259,4268,38.991,3.651,20240727
260,4268,39.041,3.651,20240727
261,4208,39.091,3.651,20240727
262,4208,39.141,3.651,20240727
263,4491,39.191,3.651,20240727
264,4491,39.241,3.651,20240727
265,3992,39.291,3.651,20240727
266,4171,39.341,3.651,20240727
267,4171,39.391,3.651,20240727
268,4452,39.441,3.651,20240727
269,4452,39.491,3.651,20240727
270,4411,39.541,3.651,20240727
271,4411,39.591,3.651,20240727
272,4069,39.641,3.651,20240727
273,4069,39.691,3.651,20240727
274,4210,39.741,3.651,20240727
275,3888,39.791,3.651,20240727
276,3888,39.841,3.651,20240727
277,3492,39.891,3.651,20240727
278,3492,39.94,3.652,20240727
279,3728,39.97,3.667,20240727
280,2596,37.701,3.716,20240727
281,2261,37.743,3.704,20240727
282,2261,37.791,3.701,20240727
283,2298,37.841,3.701,20240727
284,2298,37.891,3.701,20240727
285,2093,37.941,3.701,20240727
286,3144,37.991,3.701,20240727
