Dataset,Date,Mean,PixelCount(zonal_stats),ValidInClip(mask),GeomValid,GeomEmpty,IntersectsRaster,BaseAllTouched,RetriedAllTouched,UsedFallback,BufferedTiny
ET050298,20220218,0.40851851525130095,27,27,True,False,True,False,False,False,False
ET050299,20220218,0.2498148160952109,54,54,True,False,True,False,False,False,False
ET050301,20220218,0.27788135649289114,118,118,True,False,True,False,False,False,False
ET050302,20220218,0.2078991601822757,119,119,True,False,True,False,False,False,False
ET050303,20220218,0.24000000072422847,93,93,True,False,True,False,False,False,False
ET050304,20220218,0.3387335089273692,379,379,True,False,True,False,False,False,False
ET050305,20220218,0.25316455705633645,79,79,True,False,True,False,False,False,False
ET050306,20220218,0.26913043759439303,46,46,True,False,True,False,False,False,False
ET050307,20220218,0.21444444358348846,9,9,True,False,True,False,False,False,False
ET050382,20220218,0.2563265288362698,49,49,True,False,True,False,False,False,False
ET050392,20220218,0.19355855951807252,222,222,True,False,True,False,False,False,False
ET050394,20220218,0.23152941237477695,85,85,True,False,True,False,False,False,False
ET050395,20220218,0.3434375040233135,32,32,True,False,True,False,False,False,False
ET050399,20220218,0.3695555574364132,45,45,True,False,True,False,False,False,False
ET050402,20220218,0.4212499996647239,112,112,True,False,True,False,False,False,False
ET050403,20220218,0.15600000321865082,5,5,True,False,True,False,False,False,False
ET050404,20220218,0.22243243294793205,74,74,True,False,True,False,False,False,False
ET050407,20220218,0.25555555274089176,18,18,True,False,True,False,False,False,False
ET050408,20220218,0.5950000042265112,22,22,True,False,True,False,False,False,False
ET050497,20220218,0.5088888804117838,18,18,True,False,True,False,False,False,False
ET050498,20220218,0.21152542430465504,59,59,True,False,True,False,False,False,False
ET050499,20220218,0.2219999978939692,15,15,True,False,True,False,False,False,False
ET050501,20220218,0.2257894735064423,57,57,True,False,True,False,False,False,False
ET050502,20220218,0.27480519475874965,77,77,True,False,True,False,False,False,False
ET050503,20220218,0.3738947359354872,380,380,True,False,True,False,False,False,False
ET050504,20220218,0.23883720972510272,86,86,True,False,True,False,False,False,False
ET050586,20220218,0.47982456182178695,114,114,True,False,True,False,False,False,False
ET050592,20220218,0.23000000044703484,4,4,True,False,True,False,False,False,False
ET050595,20220218,0.4808860753155962,79,79,True,False,True,False,False,False,False
ET050596,20220218,0.17195121998467097,41,41,True,False,True,False,False,False,False
ET050597,20220218,0.2200000003157627,84,84,True,False,True,False,False,False,False
ET050598,20220218,0.2809375002980232,64,64,True,False,True,False,False,False,False
ET050599,20220218,0.3736448598520778,107,107,True,False,True,False,False,False,False
ET050601,20220218,0.10242990585409592,107,107,True,False,True,False,False,False,False
ET050602,20220218,0.08610526272994384,285,285,True,False,True,False,False,False,False
ET050603,20220218,0.09153846175624775,65,65,True,False,True,False,False,False,False
ET050604,20220218,0.05257142851395266,70,70,True,False,True,False,False,False,False
ET050605,20220218,0.10483333358748091,180,180,True,False,True,False,False,False,False
ET050606,20220218,0.16350515526671386,97,97,True,False,True,False,False,False,False
ET050607,20220218,0.19550724791875784,69,69,True,False,True,False,False,False,False
ET050608,20220218,0.08236111097762154,72,72,True,False,True,False,False,False,False
ET050696,20220218,0.019999999552965164,3,3,True,False,True,False,False,False,False
ET050698,20220218,0.11328358205952752,67,67,True,False,True,False,False,False,False
ET050699,20220218,0.13267605562864895,71,71,True,False,True,False,False,False,False
ET050701,20220218,0.5023107555995424,251,251,True,False,True,False,False,False,False
ET050702,20220218,0.3993916341560422,263,263,True,False,True,False,False,False,False
ET050703,20220218,0.38723723648546693,333,333,True,False,True,False,False,False,False
ET050704,20220218,0.4768390801960024,348,348,True,False,True,False,False,False,False
ET050788,20220218,0.5529032272677268,31,31,True,False,True,False,False,False,False
ET050798,20220218,0.48860214858926754,93,93,True,False,True,False,False,False,False
ET050799,20220218,0.20056818167425014,176,176,True,False,True,False,False,False,False
ET050802,20220218,0.4784363636645404,275,275,True,False,True,False,False,False,False
ET050804,20220218,0.4896803638434301,219,219,True,False,True,False,False,False,False
ET050805,20220218,0.18867187583236955,128,128,True,False,True,False,False,False,False
ET050806,20220218,0.25704379511630016,274,274,True,False,True,False,False,False,False
ET050807,20220218,0.05559585474122682,193,193,True,False,True,False,False,False,False
ET050808,20220218,0.10878048815984066,123,123,True,False,True,False,False,False,False
ET050809,20220218,0.07333333355685075,9,9,True,False,True,False,False,False,False
ET050898,20220218,0.10487499951850623,80,80,True,False,True,False,False,False,False
ET050899,20220218,0.05078431343038877,51,51,True,False,True,False,False,False,False
ET050901,20220218,0.6007712074294494,389,389,True,False,True,False,False,False,False
ET050902,20220218,0.24474138034314946,116,116,True,False,True,False,False,False,False
ET050903,20220218,0.5911258315013734,151,151,True,False,True,False,False,False,False
ET050904,20220218,0.5624731125370148,93,93,True,False,True,False,False,False,False
ET050991,20220218,0.6038167908901476,131,131,True,False,True,False,False,False,False
ET050999,20220218,0.4440384596013106,156,156,True,False,True,False,False,False,False
ET051001,20220218,0.30189655130279475,58,58,True,False,True,False,False,False,False
ET051002,20220218,0.11102564093203117,78,78,True,False,True,False,False,False,False
ET051003,20220218,0.29924528385108373,106,106,True,False,True,False,False,False,False
ET051005,20220218,0.2701204826673829,83,83,True,False,True,False,False,False,False
ET051006,20220218,0.2532857146646295,70,70,True,False,True,False,False,False,False
ET051095,20220218,0.34168830862293,77,77,True,False,True,False,False,False,False
ET051096,20220218,0.14959999978542327,50,50,True,False,True,False,False,False,False
ET051103,20220218,0.7351111094156901,45,45,True,False,True,False,False,False,False
ET051104,20220218,0.6813953505005947,43,43,True,False,True,False,False,False,False
ET051187,20220218,0.6877178438471561,241,241,True,False,True,False,False,False,False
ET051198,20220218,0.7024657562987445,73,73,True,False,True,False,False,False,False
ET020101,20251203,0.12860759513900627,158,158,True,False,True,False,False,False,False
ET020102,20251203,0.14721910127051427,356,356,True,False,True,False,False,False,False
ET020103,20251203,0.2918181803416122,55,55,True,False,True,False,False,False,False
ET020104,20251203,0.44236363396048545,55,55,True,False,True,False,False,False,False
ET020105,20251203,0.06506666620572409,75,75,True,False,True,False,False,False,False
ET020106,20251203,0.3957999971881509,50,50,True,False,True,False,False,False,False
ET020107,20251203,0.09666666636864345,3,3,True,False,True,False,False,False,True
ET020108,20251203,0.15727272761440036,99,99,True,False,True,False,False,False,False
ET020109,20251203,0.21253333265582722,75,75,True,False,True,False,False,False,False
ET020110,20251203,0.1456462582383229,147,147,True,False,True,False,False,False,False
ET020111,20251203,0.4299999922513962,2,2,True,False,True,False,False,False,False
ET020198,20251203,0.1550000011920929,2,2,True,False,True,False,False,False,False
ET020201,20251203,0.20588235215229148,85,85,True,False,True,False,False,False,False
ET020202,20251203,0.15454545498571612,11,11,True,False,True,False,False,False,False
ET020203,20251203,0.5545161277536423,31,31,True,False,True,False,False,False,False
ET020204,20251203,0.5670270275425267,37,37,True,False,True,False,False,False,False
ET020205,20251203,0.40010416550406563,96,96,True,False,True,False,False,False,False
ET020206,20251203,0.4206849318252851,73,73,True,False,True,False,False,False,False
ET020207,20251203,0.500480768431981,416,416,True,False,True,False,False,False,False
ET020208,20251203,0.33133047279530076,233,233,True,False,True,False,False,False,False
ET020209,20251203,0.9533333579699198,6,6,True,False,True,False,False,False,False
ET020301,20251203,0.9009523817471096,21,21,True,False,True,False,False,False,False
ET020302,20251203,1.1165714246886118,35,35,True,False,True,False,False,False,False
ET020303,20251203,0.3175088957323298,281,281,True,False,True,False,False,False,False
ET020304,20251203,1.2449019609713088,51,51,True,False,True,False,False,False,False
ET020305,20251203,0.9204000043869018,25,25,True,False,True,False,False,False,False
ET020306,20251203,1.4492307809682994,13,13,True,False,True,False,False,False,False
ET020307,20251203,0.7205617983689468,89,89,True,False,True,False,False,False,False
ET020396,20251203,0.9566666682561239,3,0,True,False,True,False,True,False,False
ET020401,20251203,0.15081081073731184,74,74,True,False,True,False,False,False,False
ET020402,20251203,0.30826086862741603,46,46,True,False,True,False,False,False,False
ET020403,20251203,0.15673684222917808,190,190,True,False,True,False,False,False,False
ET020404,20251203,0.6437037035270974,27,27,True,False,True,False,False,False,False
ET020405,20251203,0.5353333299358686,30,30,True,False,True,False,False,False,False
ET020501,20251203,0.20702702592353564,37,37,True,False,True,False,False,False,False
ET020502,20251203,1.0808510628152401,47,47,True,False,True,False,False,False,False
ET020503,20251203,0.5483999997377396,25,25,True,False,True,False,False,False,False
ET020504,20251203,0.49129032415728413,31,31,True,False,True,False,False,False,False
ET020505,20251203,0.7845454514026642,44,44,True,False,True,False,False,False,False
ET041207,20251203,1.3298901077155227,91,91,True,False,True,False,False,False,False
ET041208,20251203,1.328344830151262,145,145,True,False,True,False,False,False,False
ET041210,20251203,0.9546511630679286,86,86,True,False,True,False,False,False,False
ET041211,20251203,0.7297802218696573,91,91,True,False,True,False,False,False,False
ET041212,20251203,1.1796015958743267,251,251,True,False,True,False,False,False,False
ET041216,20251203,0.9463095189560027,84,84,True,False,True,False,False,False,False
ET041219,20251203,1.2096031724164884,126,126,True,False,True,False,False,False,False
ET041220,20251203,0.7372115374757693,104,104,True,False,True,False,False,False,False
ET041223,20251203,1.6848837220391562,43,43,True,False,True,False,False,False,False
ET041290,20251203,1.1416666706403096,48,48,True,False,True,False,False,False,False
ET041291,20251203,1.2511842141025944,76,76,True,False,True,False,False,False,False
ET041295,20251203,1.6861068701926079,131,131,True,False,True,False,False,False,False
ET041296,20251203,1.467500001192093,4,0,True,False,True,False,True,False,False
ET041298,20251203,0.9236969669659932,165,165,True,False,True,False,False,False,False
ET050101,20251203,0.1852298846960753,174,174,True,False,True,False,False,False,False
ET050102,20251203,0.4717441852269478,86,86,True,False,True,False,False,False,False
ET050103,20251203,0.4327499981969595,120,120,True,False,True,False,False,False,False
ET050104,20251203,0.4845714261755347,140,140,True,False,True,False,False,False,False
ET050105,20251203,0.4861728376766414,81,81,True,False,True,False,False,False,False
ET050106,20251203,0.11312499984342139,128,128,True,False,True,False,False,False,False
ET050107,20251203,0.9790322549881474,31,31,True,False,True,False,False,False,False
ET050198,20251203,0.6634285713945116,35,35,True,False,True,False,False,False,False
ET050199,20251203,0.1312499993108213,200,200,True,False,True,False,False,False,False
ET050202,20251203,0.8300000056624413,8,8,True,False,True,False,False,False,False
ET050203,20251203,1.0690000236034394,10,10,True,False,True,False,False,False,False
ET050204,20251203,0.7057142853736877,49,49,True,False,True,False,False,False,False
ET050205,20251203,0.6054545391689647,55,55,True,False,True,False,False,False,False
ET050206,20251203,0.5076288620835727,97,97,True,False,True,False,False,False,False
ET050207,20251203,0.3322818788306025,149,149,True,False,True,False,False,False,False
ET050283,20251203,0.7519999980926514,15,15,True,False,True,False,False,False,False
ET050290,20251203,0.589999989322994,23,23,True,False,True,False,False,False,False
ET050293,20251203,0.7414285710879734,7,7,True,False,True,False,False,False,False
ET050295,20251203,0.5599999904632569,5,5,True,False,True,False,False,False,False
ET050296,20251203,0.5133333206176758,6,0,True,False,True,False,True,False,False
ET050297,20251203,0.5841999983787537,50,50,True,False,True,False,False,False,False
ET050298,20251203,0.6133333378367953,27,27,True,False,True,False,False,False,False
ET050299,20251203,0.4853703749400598,54,54,True,False,True,False,False,False,False
ET050301,20251203,0.6270338981333425,118,118,True,False,True,False,False,False,False
ET050302,20251203,0.5646218472168225,119,119,True,False,True,False,False,False,False
ET050303,20251203,0.5933333305261468,93,93,True,False,True,False,False,False,False
ET050304,20251203,0.5207651711823443,379,379,True,False,True,False,False,False,False
ET050305,20251203,0.7935443030127997,79,79,True,False,True,False,False,False,False
ET050306,20251203,0.5789130356000818,46,46,True,False,True,False,False,False,False
ET050307,20251203,0.5233333243264092,9,9,True,False,True,False,False,False,False
ET050382,20251203,0.5046938724663793,49,49,True,False,True,False,False,False,False
ET050392,20251203,0.4490748870346515,227,227,True,False,True,False,False,False,False
ET050394,20251203,0.8483529385398416,85,85,True,False,True,False,False,False,False
ET050395,20251203,0.5559374941512942,32,32,True,False,True,False,False,False,False
ET050399,20251203,0.8571111122767131,45,45,True,False,True,False,False,False,False
ET050402,20251203,0.8061607166060379,112,112,True,False,True,False,False,False,False
ET050403,20251203,0.5379999995231628,5,5,True,False,True,False,False,False,False
ET050404,20251203,0.6309459459137272,74,74,True,False,True,False,False,False,False
ET050407,20251203,0.6577777763207754,18,18,True,False,True,False,False,False,False
ET050408,20251203,1.0227272700179706,22,22,True,False,True,False,False,False,False
ET050497,20251203,0.9799999826484256,18,18,True,False,True,False,False,False,False
ET050498,20251203,0.5154237242068275,59,59,True,False,True,False,False,False,False
ET050499,20251203,0.6433333357175192,15,15,True,False,True,False,False,False,False
ET050501,20251203,0.8203508780713666,57,57,True,False,True,False,False,False,False
ET050502,20251203,0.7858441549462157,77,77,True,False,True,False,False,False,False
ET050503,20251203,0.5641052613525014,380,380,True,False,True,False,False,False,False
ET050504,20251203,0.6023255801478098,86,86,True,False,True,False,False,False,False
ET050586,20251203,0.9681578916415834,114,114,True,False,True,False,False,False,False
ET050592,20251203,0.6124999970197678,4,4,True,False,True,False,False,False,False
ET050595,20251203,1.01506328280968,79,79,True,False,True,False,False,False,False
ET050596,20251203,0.6817073153286446,41,41,True,False,True,False,False,False,False
ET050597,20251203,0.45523809357768014,84,84,True,False,True,False,False,False,False
ET050598,20251203,0.6829687496647239,64,64,True,False,True,False,False,False,False
ET050599,20251203,1.0642990639833647,107,107,True,False,True,False,False,False,False
ET050601,20251203,0.37768518455602507,108,108,True,False,True,False,False,False,False
ET050602,20251203,0.3587152761174366,288,288,True,False,True,False,False,False,False
ET050603,20251203,0.44911764386822195,68,68,True,False,True,False,False,False,False
ET050604,20251203,0.39973684086611394,76,76,True,False,True,False,False,False,False
ET050605,20251203,0.36169398767374905,183,183,True,False,True,False,False,False,False
ET050606,20251203,0.3912371135864061,97,97,True,False,True,False,False,False,False
ET050607,20251203,0.4057971001535222,69,69,True,False,True,False,False,False,False
ET050608,20251203,0.5288157882659059,76,76,True,False,True,False,False,False,False
ET050696,20251203,0.34333333373069763,3,3,True,False,True,False,False,False,False
ET050698,20251203,0.4974999971249524,68,68,True,False,True,False,False,False,False
ET050699,20251203,0.5146478842681562,71,71,True,False,True,False,False,False,False
ET050701,20251203,0.7347808768787232,251,251,True,False,True,False,False,False,False
ET050702,20251203,0.6783269971269165,263,263,True,False,True,False,False,False,False
ET050703,20251203,0.5571771767941324,333,333,True,False,True,False,False,False,False
ET050704,20251203,0.7458333331106723,348,348,True,False,True,False,False,False,False
ET050788,20251203,0.8641935452338187,31,31,True,False,True,False,False,False,False
ET050798,20251203,0.866236557883601,93,93,True,False,True,False,False,False,False
ET050799,20251203,0.35721590830309485,176,176,True,False,True,False,False,False,False
ET050802,20251203,0.9900363627076149,275,275,True,False,True,False,False,False,False
ET050804,20251203,1.2784931510006456,219,219,True,False,True,False,False,False,False
ET050805,20251203,0.6921093729324639,128,128,True,False,True,False,False,False,False
ET050806,20251203,0.4932234434567856,273,273,True,False,True,False,False,False,False
ET050807,20251203,0.11346534674636799,202,202,True,False,True,False,False,False,False
ET050808,20251203,0.10112903249119559,124,124,True,False,True,False,False,False,False
ET050809,20251203,0.5066666569974687,9,9,True,False,True,False,False,False,False
ET050898,20251203,0.24493975910436677,83,83,True,False,True,False,False,False,False
ET050899,20251203,0.029047618620097637,42,42,True,False,True,False,False,False,False
ET050901,20251203,1.1089974301639742,389,389,True,False,True,False,False,False,False
ET050902,20251203,0.1001801802063579,111,111,True,False,True,False,False,False,False
ET050903,20251203,1.4299999964947732,151,151,True,False,True,False,False,False,False
ET050904,20251203,1.3869892461325533,93,93,True,False,True,False,False,False,False
ET050991,20251203,1.1958778614306267,131,131,True,False,True,False,False,False,False
ET050999,20251203,0.51076923063598,156,156,True,False,True,False,False,False,False
ET051001,20251203,0.6999999998972334,58,58,True,False,True,False,False,False,False
ET051002,20251203,0.5412820501205249,78,78,True,False,True,False,False,False,False
ET051003,20251203,0.8297169798949979,106,106,True,False,True,False,False,False,False
ET051005,20251203,0.656024097678173,83,83,True,False,True,False,False,False,False
ET051006,20251203,0.6427142875535148,70,70,True,False,True,False,False,False,False
ET051095,20251203,0.871298702506276,77,77,True,False,True,False,False,False,False
ET051096,20251203,0.49659999787807463,50,50,True,False,True,False,False,False,False
ET051103,20251203,0.9599999957614475,45,45,True,False,True,False,False,False,False
ET051104,20251203,1.0137209296226501,43,43,True,False,True,False,False,False,False
ET051187,20251203,0.9770124477964219,241,241,True,False,True,False,False,False,False
ET051198,20251203,0.899589042141013,73,73,True,False,True,False,False,False,False
ET020101,20251219,0.20126582231796994,158,158,True,False,True,False,False,False,False
ET020102,20251219,0.1911388896146996,360,360,True,False,True,False,False,False,False
ET020103,20251219,0.2742592589239831,54,54,True,False,True,False,False,False,False
ET020104,20251219,0.37345454581081866,55,55,True,False,True,False,False,False,False
ET020105,20251219,0.123947369057293,76,76,True,False,True,False,False,False,False
ET020106,20251219,0.22980000041425228,50,50,True,False,True,False,False,False,False
ET020107,20251219,0.19666666785875955,3,3,True,False,True,False,False,False,True
ET020108,20251219,0.2754545458639511,99,99,True,False,True,False,False,False,False
ET020109,20251219,0.16383561690988607,73,73,True,False,True,False,False,False,False
ET020110,20251219,0.12533783814492258,148,148,True,False,True,False,False,False,False
ET020111,20251219,0.4049999862909317,2,2,True,False,True,False,False,False,False
ET020198,20251219,0.29500000178813934,2,2,True,False,True,False,False,False,False
ET020201,20251219,0.18604651201776293,86,86,True,False,True,False,False,False,False
ET020202,20251219,0.2845454547892917,11,11,True,False,True,False,False,False,False
ET020203,20251219,0.42870967570812474,31,31,True,False,True,False,False,False,False
ET020204,20251219,0.3843243242921056,37,37,True,False,True,False,False,False,False
ET020205,20251219,0.42906249857818085,96,96,True,False,True,False,False,False,False
ET020206,20251219,0.498219175698006,73,73,True,False,True,False,False,False,False
ET020207,20251219,0.577362110878495,417,417,True,False,True,False,False,False,False
ET020208,20251219,0.3789361702080103,235,235,True,False,True,False,False,False,False
ET020209,20251219,0.7816666662693024,6,6,True,False,True,False,False,False,False
ET020301,20251219,0.7085714283443633,21,21,True,False,True,False,False,False,False
ET020302,20251219,0.8965714301381792,35,35,True,False,True,False,False,False,False
ET020303,20251219,0.2603225808550594,279,279,True,False,True,False,False,False,False
ET020304,20251219,0.9903921555070316,51,51,True,False,True,False,False,False,False
ET020305,20251219,0.7779999995231628,25,25,True,False,True,False,False,False,False
ET020306,20251219,1.0599999886292677,13,13,True,False,True,False,False,False,False
ET020307,20251219,0.5558426949415314,89,89,True,False,True,False,False,False,False
ET020396,20251219,0.7200000087420145,3,0,True,False,True,False,True,False,False
ET020401,20251219,0.1098648652031615,74,74,True,False,True,False,False,False,False
ET020402,20251219,0.15391304323692684,46,46,True,False,True,False,False,False,False
ET020403,20251219,0.1629255314634994,188,188,True,False,True,False,False,False,False
ET020404,20251219,0.4340740740299225,27,27,True,False,True,False,False,False,False
ET020405,20251219,0.49666666202247145,30,30,True,False,True,False,False,False,False
ET020501,20251219,0.1974285706345524,35,35,True,False,True,False,False,False,False
ET020502,20251219,0.8193616993883823,47,47,True,False,True,False,False,False,False
ET020503,20251219,0.37679999828338623,25,25,True,False,True,False,False,False,False
ET020504,20251219,0.38000000075947854,31,31,True,False,True,False,False,False,False
ET020505,20251219,0.6475000002167441,44,44,True,False,True,False,False,False,False
ET041207,20251219,0.5054945076232428,91,91,True,False,True,False,False,False,False
ET041208,20251219,0.5189655156484966,145,145,True,False,True,False,False,False,False
ET041210,20251219,0.21127906857534898,86,86,True,False,True,False,False,False,False
ET041211,20251219,0.22945055079001647,91,91,True,False,True,False,False,False,False
ET041212,20251219,0.41099999886751176,250,250,True,False,True,False,False,False,False
ET041216,20251219,0.2970238101801702,84,84,True,False,True,False,False,False,False
ET041219,20251219,0.471587299591019,126,126,True,False,True,False,False,False,False
ET041220,20251219,0.12413461535022809,104,104,True,False,True,False,False,False,False
ET041223,20251219,0.9104651191899943,43,43,True,False,True,False,False,False,False
ET041290,20251219,0.2716666643197338,48,48,True,False,True,False,False,False,False
ET041291,20251219,0.3160526309358446,76,76,True,False,True,False,False,False,False
ET041295,20251219,0.5572519064632081,131,131,True,False,True,False,False,False,False
ET041296,20251219,0.6425000131130219,4,0,True,False,True,False,True,False,False
ET041298,20251219,0.3167272720147263,165,165,True,False,True,False,False,False,False
ET050101,20251219,0.2010285704263619,175,175,True,False,True,False,False,False,False
ET050102,20251219,0.325232558212308,86,86,True,False,True,False,False,False,False
ET050103,20251219,0.3423333329459031,120,120,True,False,True,False,False,False,False
ET050104,20251219,0.35292857085753765,140,140,True,False,True,False,False,False,False
ET050105,20251219,0.3483950605868925,81,81,True,False,True,False,False,False,False
ET050106,20251219,0.10164062511466909,128,128,True,False,True,False,False,False,False
ET050107,20251219,0.6812903236958289,31,31,True,False,True,False,False,False,False
ET050198,20251219,0.46228571449007305,35,35,True,False,True,False,False,False,False
ET050199,20251219,0.13580000057816505,200,200,True,False,True,False,False,False,False
ET050202,20251219,0.5324999988079071,8,8,True,False,True,False,False,False,False
ET050203,20251219,0.6189999997615814,10,10,True,False,True,False,False,False,False
ET050204,20251219,0.4573469356614716,49,49,True,False,True,False,False,False,False
ET050205,20251219,0.38545454469594087,55,55,True,False,True,False,False,False,False
ET050206,20251219,0.33958763068484277,97,97,True,False,True,False,False,False,False
ET050207,20251219,0.223422819686016,149,149,True,False,True,False,False,False,False
ET050283,20251219,0.446000000834465,15,15,True,False,True,False,False,False,False
ET050290,20251219,0.3873913016008294,23,23,True,False,True,False,False,False,False
ET050293,20251219,0.4485714222703661,7,7,True,False,True,False,False,False,False
ET050295,20251219,0.3860000014305115,5,5,True,False,True,False,False,False,False
ET050296,20251219,0.3349999984105428,6,0,True,False,True,False,True,False,False
ET050297,20251219,0.385,50,50,True,False,True,False,False,False,False
ET050298,20251219,0.34925926283553793,27,27,True,False,True,False,False,False,False
ET050299,20251219,0.3505555521006937,54,54,True,False,True,False,False,False,False
ET050301,20251219,0.38084745886972393,118,118,True,False,True,False,False,False,False
ET050302,20251219,0.3600000022840099,119,119,True,False,True,False,False,False,False
ET050303,20251219,0.41225806295230827,93,93,True,False,True,False,False,False,False
ET050304,20251219,0.3423280403924682,378,378,True,False,True,False,False,False,False
ET050305,20251219,0.5398734185514571,79,79,True,False,True,False,False,False,False
ET050306,20251219,0.3665217413850453,46,46,True,False,True,False,False,False,False
ET050307,20251219,0.3422222269905938,9,9,True,False,True,False,False,False,False
ET050382,20251219,0.3481632702204646,49,49,True,False,True,False,False,False,False
ET050392,20251219,0.3132158606456765,227,227,True,False,True,False,False,False,False
ET050394,20251219,0.5208235291873707,85,85,True,False,True,False,False,False,False
ET050395,20251219,0.3753125024959445,32,32,True,False,True,False,False,False,False
ET050399,20251219,0.5935555524296231,45,45,True,False,True,False,False,False,False
ET050402,20251219,0.46964285442871706,112,112,True,False,True,False,False,False,False
ET050403,20251219,0.231999996304512,5,5,True,False,True,False,False,False,False
ET050404,20251219,0.33148648690532995,74,74,True,False,True,False,False,False,False
ET050407,20251219,0.3422222220235401,18,18,True,False,True,False,False,False,False
ET050408,20251219,0.6163636391813104,22,22,True,False,True,False,False,False,False
ET050497,20251219,0.5399999949667189,18,18,True,False,True,False,False,False,False
ET050498,20251219,0.2855932222584547,59,59,True,False,True,False,False,False,False
ET050499,20251219,0.3346666673819224,15,15,True,False,True,False,False,False,False
ET050501,20251219,0.5092982419750147,57,57,True,False,True,False,False,False,False
ET050502,20251219,0.4407792188130416,77,77,True,False,True,False,False,False,False
ET050503,20251219,0.3023157903385398,380,380,True,False,True,False,False,False,False
ET050504,20251219,0.272209302977074,86,86,True,False,True,False,False,False,False
ET050586,20251219,0.6329824550632845,114,114,True,False,True,False,False,False,False
ET050592,20251219,0.3500000014901161,4,4,True,False,True,False,False,False,False
ET050595,20251219,0.6384810122508037,79,79,True,False,True,False,False,False,False
ET050596,20251219,0.3014634138927227,41,41,True,False,True,False,False,False,False
ET050597,20251219,0.19192770967282444,83,83,True,False,True,False,False,False,False
ET050598,20251219,0.34343750099651515,64,64,True,False,True,False,False,False,False
ET050599,20251219,0.5660747624585561,107,107,True,False,True,False,False,False,False
ET050601,20251219,0.15499999970887546,108,108,True,False,True,False,False,False,False
ET050602,20251219,0.12575438589249788,285,285,True,False,True,False,False,False,False
ET050603,20251219,0.12220588203190881,68,68,True,False,True,False,False,False,False
ET050604,20251219,0.11052631537773107,76,76,True,False,True,False,False,False,False
ET050605,20251219,0.11033333304027716,180,180,True,False,True,False,False,False,False
ET050606,20251219,0.13948453609476386,97,97,True,False,True,False,False,False,False
ET050607,20251219,0.15072463690370752,69,69,True,False,True,False,False,False,False
ET050608,20251219,0.20447368380662642,76,76,True,False,True,False,False,False,False
ET050696,20251219,0.08000000069538753,3,3,True,False,True,False,False,False,False
ET050698,20251219,0.17647058779702468,68,68,True,False,True,False,False,False,False
ET050699,20251219,0.2038028155204276,71,71,True,False,True,False,False,False,False
ET050701,20251219,0.48661354302885046,251,251,True,False,True,False,False,False,False
ET050702,20251219,0.4325855488786226,263,263,True,False,True,False,False,False,False
ET050703,20251219,0.3578978984116076,333,333,True,False,True,False,False,False,False
ET050704,20251219,0.4533333321069849,348,348,True,False,True,False,False,False,False
ET050788,20251219,0.5658064465368947,31,31,True,False,True,False,False,False,False
ET050798,20251219,0.529032257615879,93,93,True,False,True,False,False,False,False
ET050799,20251219,0.2124999993882904,176,176,True,False,True,False,False,False,False
ET050802,20251219,0.4212132349596633,272,272,True,False,True,False,False,False,False
ET050804,20251219,0.5706392698092003,219,219,True,False,True,False,False,False,False
ET050805,20251219,0.33554687537252903,128,128,True,False,True,False,False,False,False
ET050806,20251219,0.14867158650637113,271,271,True,False,True,False,False,False,False
ET050807,20251219,0.18940594169947475,202,202,True,False,True,False,False,False,False
ET050808,20251219,0.20409448859905163,127,127,True,False,True,False,False,False,False
ET050809,20251219,0.24888888829284245,9,9,True,False,True,False,False,False,False
ET050898,20251219,0.07827160477546262,81,81,True,False,True,False,False,False,False
ET050899,20251219,0.08442307661215846,52,52,True,False,True,False,False,False,False
ET050901,20251219,0.3714395883687051,389,389,True,False,True,False,False,False,False
ET050902,20251219,0.08324074048410963,108,108,True,False,True,False,False,False,False
ET050903,20251219,0.6094701976965595,151,151,True,False,True,False,False,False,False
ET050904,20251219,0.5046236537477021,93,93,True,False,True,False,False,False,False
ET050991,20251219,0.43412213539349215,131,131,True,False,True,False,False,False,False
ET050999,20251219,0.10032467488441374,154,154,True,False,True,False,False,False,False
ET051001,20251219,0.32034482935379294,58,58,True,False,True,False,False,False,False
ET051002,20251219,0.1903846154992397,78,78,True,False,True,False,False,False,False
ET051003,20251219,0.378679244023449,106,106,True,False,True,False,False,False,False
ET051005,20251219,0.3344578312104007,83,83,True,False,True,False,False,False,False
ET051006,20251219,0.27257142918450494,70,70,True,False,True,False,False,False,False
ET051095,20251219,0.36181817948818207,77,77,True,False,True,False,False,False,False
ET051096,20251219,0.15340000092983247,50,50,True,False,True,False,False,False,False
ET051103,20251219,0.19177777883079317,45,45,True,False,True,False,False,False,False
ET051104,20251219,0.29162790617623996,43,43,True,False,True,False,False,False,False
ET051187,20251219,0.22163716860247396,226,226,True,False,True,False,False,False,False
ET051198,20251219,0.09777777786884043,72,72,True,False,True,False,False,False,False
ET020101,20260101,0.20075471604348355,159,159,True,False,True,False,False,False,False
ET020102,20260101,0.20351800543883006,361,361,True,False,True,False,False,False,False
ET020103,20260101,0.2810909103263508,55,55,True,False,True,False,False,False,False
ET020104,20260101,0.4054716988554541,53,53,True,False,True,False,False,False,False
ET020105,20260101,0.15640000129739443,75,75,True,False,True,False,False,False,False
ET020106,20260101,0.5036000048369169,50,50,True,False,True,False,False,False,False
ET020107,20260101,0.20999999841054282,3,3,True,False,True,False,False,False,True
ET020108,20260101,0.2602020208582734,99,99,True,False,True,False,False,False,False
