Dataset,Date,Mean,PixelCount(zonal_stats),ValidInClip(mask),GeomValid,GeomEmpty,IntersectsRaster,BaseAllTouched,RetriedAllTouched,UsedFallback,BufferedTiny
ET050902,20220101,0.469396550593705,116,116,True,False,True,False,False,False,False
ET050903,20220101,0.7072847667119361,151,151,True,False,True,False,False,False,False
ET050904,20220101,0.6932258080410701,93,93,True,False,True,False,False,False,False
ET050991,20220101,0.8022137407128137,131,131,True,False,True,False,False,False,False
ET050999,20220101,0.8625000002674568,156,156,True,False,True,False,False,False,False
ET051001,20220101,0.3479310333214957,58,58,True,False,True,False,False,False,False
ET051002,20220101,0.1549999998548092,78,78,True,False,True,False,False,False,False
ET051003,20220101,0.3347169799062441,106,106,True,False,True,False,False,False,False
ET051005,20220101,0.2946987954607929,83,83,True,False,True,False,False,False,False
ET051006,20220101,0.28614285652126586,70,70,True,False,True,False,False,False,False
ET051095,20220101,0.40298701203488685,77,77,True,False,True,False,False,False,False
ET051096,20220101,0.19099999994039535,50,50,True,False,True,False,False,False,False
ET051103,20220101,1.0295555578337776,45,45,True,False,True,False,False,False,False
ET051104,20220101,0.9865116269089454,43,43,True,False,True,False,False,False,False
ET051187,20220101,1.0281327789749841,241,241,True,False,True,False,False,False,False
ET051198,20220101,1.0008219113088634,73,73,True,False,True,False,False,False,False
ET020101,20220117,0.16683544282200216,158,158,True,False,True,False,False,False,False
ET020102,20220117,0.10167130863185049,359,359,True,False,True,False,False,False,False
ET020103,20220117,0.4649090891873295,55,55,True,False,True,False,False,False,False
ET020104,20220117,0.32381817932156,55,55,True,False,True,False,False,False,False
ET020105,20220117,0.1165789472380359,76,76,True,False,True,False,False,False,False
ET020106,20220117,0.9326000064611435,50,50,True,False,True,False,False,False,False
ET020107,20220117,0.19666666785875955,3,3,True,False,True,False,False,False,True
ET020108,20220117,0.13696969586490382,99,99,True,False,True,False,False,False,False
ET020109,20220117,0.42513888988954324,72,72,True,False,True,False,False,False,False
ET020110,20220117,0.2536912743602223,149,149,True,False,True,False,False,False,False
ET020111,20220117,0.7400000095367432,2,2,True,False,True,False,False,False,False
ET020198,20220117,0.20500000566244125,2,2,True,False,True,False,False,False,False
ET020201,20220117,0.14599999897181987,85,85,True,False,True,False,False,False,False
ET020202,20220117,0.26272727345878427,11,11,True,False,True,False,False,False,False
ET020203,20220117,0.37129032395539746,31,31,True,False,True,False,False,False,False
ET020204,20220117,0.6567567586898804,37,37,True,False,True,False,False,False,False
ET020205,20220117,0.3430526309695683,95,95,True,False,True,False,False,False,False
ET020206,20220117,0.3617808203378769,73,73,True,False,True,False,False,False,False
ET020207,20220117,0.4010739843394421,419,419,True,False,True,False,False,False,False
ET020208,20220117,0.20960698746893083,229,229,True,False,True,False,False,False,False
ET020209,20220117,0.4833333343267441,6,6,True,False,True,False,False,False,False
ET020301,20220117,0.667619050968261,21,21,True,False,True,False,False,False,False
ET020302,20220117,0.753714280469077,35,35,True,False,True,False,False,False,False
ET020303,20220117,0.26667832127948116,286,286,True,False,True,False,False,False,False
ET020304,20220117,0.8799999952316284,51,51,True,False,True,False,False,False,False
ET020305,20220117,1.2300000047683717,25,25,True,False,True,False,False,False,False
ET020306,20220117,1.2353846155680144,13,13,True,False,True,False,False,False,False
ET020307,20220117,0.45460673982507727,89,89,True,False,True,False,False,False,False
ET020396,20220117,0.6466666658719381,3,0,True,False,True,False,True,False,False
ET020401,20220117,0.24342105243551104,76,76,True,False,True,False,False,False,False
ET020402,20220117,0.8906521771265112,46,46,True,False,True,False,False,False,False
ET020403,20220117,0.28326315736692204,190,190,True,False,True,False,False,False,False
ET020404,20220117,0.8092592568309219,27,27,True,False,True,False,False,False,False
ET020405,20220117,0.7420000021656354,30,30,True,False,True,False,False,False,False
ET020501,20220117,0.7199999951833004,37,37,True,False,True,False,False,False,False
ET020502,20220117,0.8470212766464721,47,47,True,False,True,False,False,False,False
ET020503,20220117,0.8783999943733215,25,25,True,False,True,False,False,False,False
ET020504,20220117,0.6087096751697602,31,31,True,False,True,False,False,False,False
ET020505,20220117,0.8390909101475369,44,44,True,False,True,False,False,False,False
ET041207,20220117,0.8861538427216666,91,91,True,False,True,False,False,False,False
ET041208,20220117,1.0266896576716982,145,145,True,False,True,False,False,False,False
ET041210,20220117,0.9447674453258514,86,86,True,False,True,False,False,False,False
ET041211,20220117,0.9882417550453773,91,91,True,False,True,False,False,False,False
ET041212,20220117,1.0696428577814783,252,252,True,False,True,False,False,False,False
